id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2020-12-05 08:23:36,突尼斯,101900,0,75464,3481,0,0.0,2620.0,,1857.0,122.0,,,
9507896,2020-12-05 08:23:36,塞尔维亚,206940,0,15913,1834,0,0.0,7782.0,,0.0,0.0,,,
0,2020-12-05 08:23:36,中国,94038,0,87777,4753,0,3919.0,133.0,,57.0,1.0,,75.0,15.0
1,2020-12-05 08:23:35,日本本土,158387,0,131020,2210,0,0.0,2459.0,,0.0,0.0,,,
2,2020-12-05 13:13:36,泰国,4072,0,3848,60,0,0.0,19.0,,9.0,0.0,,,
3,2020-12-05 08:23:36,新加坡,58242,0,58152,29,0,0.0,3.0,,0.0,0.0,,,
4,2020-12-05 11:13:34,韩国,36915,0,28917,540,0,0.0,583.0,,306.0,4.0,,,
5,2020-12-05 13:13:36,澳大利亚,27956,0,25634,908,0,0.0,7.0,,4.0,0.0,,,
6,2020-12-05 12:13:37,德国,1157514,0,831935,18577,0,0.0,11869.0,,12200.0,442.0,,,
7,2020-12-05 10:38:34,美国,14772535,0,8658882,285550,0,0.0,235272.0,,97455.0,2721.0,,,
8,2020-12-05 08:23:36,马来西亚,70236,0,59061,376,0,0.0,1141.0,,0.0,0.0,,,
9,2020-12-05 08:23:36,越南,1361,0,1220,35,0,0.0,0.0,,0.0,0.0,,,
89566,2020-06-12 17:03:12,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,2020-12-05 08:23:36,肯尼亚,87249,0,68110,1506,0,0.0,866.0,,322.0,6.0,,,
826,2020-12-05 08:23:36,伊朗,1016835,0,708106,49695,0,0.0,13341.0,,0.0,0.0,,,
827,2020-12-05 08:23:35,以色列,342101,0,327162,2896,0,0.0,341.0,,196.0,0.0,,,
828,2020-06-09 19:59:04,毛利亚尼亚,16,0,6,2,0,,,,,,,,
829,2020-12-05 08:23:35,黎巴嫩,134295,0,86019,1078,0,0.0,1478.0,,1877.0,11.0,,,
833,2020-12-05 08:23:36,克罗地亚,143370,0,117148,2032,0,0.0,3955.0,,0.0,0.0,,,
834,2020-12-05 08:23:35,奥地利,297245,0,243775,3651,0,0.0,3815.0,,0.0,0.0,,,
835,2020-12-05 09:13:31,瑞士,344497,0,260600,5293,0,0.0,4382.0,,0.0,50.0,,,
839,2020-12-05 08:23:35,希腊,113185,0,23074,2804,0,0.0,1648.0,,0.0,98.0,,,
95800,2020-12-05 08:23:36,毛里求斯,508,0,465,10,0,0.0,0.0,,0.0,0.0,,,
845,2020-12-05 08:23:36,爱沙尼亚,13939,0,8549,125,0,0.0,470.0,,0.0,0.0,,,
846,2020-12-05 08:23:35,北马其顿,66330,0,42241,1877,0,0.0,1099.0,,585.0,30.0,,,
850,2020-12-05 08:23:36,白俄罗斯,143383,0,120571,1190,0,0.0,1774.0,,0.0,0.0,,,
851,2020-12-05 08:23:35,立陶宛,69582,0,27760,590,0,0.0,7067.0,,0.0,0.0,,,
852,2020-12-05 08:23:36,阿塞拜疆,138000,0,83800,1551,0,0.0,4267.0,,0.0,0.0,,,
875097,2020-06-12 17:06:26,美属维尔京群岛,72,0,46,6,0,,,,,,,,
95826,2020-06-15 13:26:49,蒙古,197,0,98,0,0,,,,,,,,
872,2020-12-05 08:23:36,乌克兰,808828,0,414347,13641,0,0.0,15456.0,,0.0,0.0,,,
874,2020-12-05 08:23:35,波兰,1041846,0,666413,19359,0,0.0,13236.0,,0.0,0.0,,,
879,2020-12-05 08:23:35,波黑,92793,0,57545,2865,0,0.0,1254.0,,0.0,0.0,,,
80902,2020-06-12 17:02:32,蒙特塞拉特,11,0,10,1,0,,,,,,,,
880,2020-12-05 08:23:36,南非,805804,0,740450,21963,0,0.0,4932.0,,1083.0,160.0,,,
95198,2020-06-15 14:48:50,布隆迪,85,0,45,1,0,,,,,,,,
95215522,2020-06-15 07:27:53,南苏丹,1755,0,58,30,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
893,2020-12-05 08:23:35,马耳他,10320,0,8120,149,0,0.0,123.0,,0.0,0.0,,,
896,2020-12-05 08:23:35,摩尔多瓦,113829,0,98276,2384,0,0.0,1522.0,,727.0,21.0,,,
897,2020-12-05 08:23:35,保加利亚,158807,0,59677,4650,0,0.0,3614.0,,2536.0,147.0,,,
898,2020-12-05 08:23:35,孟加拉,473991,0,390951,6772,0,0.0,2252.0,,0.0,0.0,,,
899,2020-06-15 10:20:56,阿尔巴尼亚,1521,0,1044,36,0,,,0.0,,,0.0,,
950000,2020-12-05 08:23:35,巴勒斯坦,94676,0,70206,797,0,0.0,1968.0,,0.0,0.0,,,
95kml,2020-06-15 13:47:09,科摩罗,176,0,114,2,0,,,,,,,,
953333,2020-12-05 08:23:35,阿富汗,46837,0,37260,1846,0,0.0,119.0,,0.0,0.0,,,
